          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.77637E+08   l/l sun =  2.67028E-03
     number of points in model = 436   r/r sun =  1.34019E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0594        64.4108        0.3064
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  129.521  129.603    46.2422  -0.99200E-01      1      1      1   51.540   0.466
     1  2  164.284  163.733    46.2440  -0.23719E+00      2      2      2   51.103   0.479
     1  3  264.430  264.950    45.9874  -0.22215E-01      3      3      3   49.923   0.467
     1  4  293.950  293.957    45.4570   0.14534E-01      4      4      4   49.785   0.476
     1  5  351.934  352.036    45.2126   0.11966E-01      5      5      5   48.862   0.462
     1  6  392.450  392.640    44.8461  -0.68574E-02      6      6      6   48.148   0.439
     1  7  427.920  427.668    44.7719  -0.65974E-02      7      7      7   47.514   0.389
     1  8  459.598  459.962    44.3791   0.29674E-03      8      8      8   47.706   0.458
     1  9  506.457  506.566    44.0959   0.38744E-02      9      9      9   47.869   0.483
     1 10  552.400  552.368    43.8326   0.40517E-03     10     10     10   47.767   0.486
     1 11  598.808  598.670    43.7253   0.59371E-04     11     11     11   47.356   0.480
     1 12  639.607  639.248    43.6115   0.87079E-03     12     12     12   46.960   0.470
     1 13  675.350  675.384    43.5037   0.25189E-03     13     13     13   46.839   0.473
     1 14  716.707  717.009    43.3178  -0.48626E-03     14     14     14   46.988   0.487
     1 15  762.012  762.030    43.1657  -0.67974E-04     15     15     15   47.045   0.491
     1 16  808.021  807.921    43.0600   0.46305E-04     16     16     16   46.921   0.492
     1 17  852.808  852.548    43.0176  -0.42102E-03     17     17     17   46.613   0.489
     1 18  892.316  892.000    43.0043  -0.43876E-03     18     18     18   46.346   0.485
     1 19  930.438  930.516    42.9368  -0.17887E-03     19     19     19   46.349   0.489
     1 20  973.255  973.381    42.8484  -0.84098E-04     20     20     20   46.490   0.493
     1 21 1019.040 1019.048    42.8229  -0.12115E-03     21     21     21   46.493   0.495
     1 22 1064.900 1064.786    42.8285  -0.89527E-05     22     22     22   46.338   0.494
     1 23 1108.488 1108.027    42.8622   0.72564E-04     23     23     23   46.092   0.493
     1 24 1148.680 1148.402    42.8989   0.41915E-04     24     24     24   45.930   0.492
     1 25 1189.329 1189.452    42.8879   0.11510E-04     25     25     25   45.967   0.494
     1 26 1233.388 1233.432    42.8779  -0.31239E-05     26     26     26   46.062   0.496
     1 27 1279.783 1279.763    42.8942  -0.48093E-04     27     27     27   46.056   0.496
     1 28 1325.990 1325.760    42.9361  -0.81180E-04     28     28     28   45.906   0.496
     1 29 1369.613 1369.134    43.0064  -0.90252E-04     29     29     29   45.684   0.495
     1 30 1410.295 1410.078    43.0492  -0.90265E-04     30     30     30   45.589   0.495
     1 31 1452.622 1452.658    43.0440  -0.72144E-04     31     31     31   45.671   0.496
     1 32 1498.293 1498.320    43.0618  -0.46713E-04     32     32     32   45.738   0.497
     2  1   75.084   75.132    46.5244  -0.17378E-01      1      1      1   51.362   0.135
     2  2   95.161   94.836    46.6424  -0.99851E-02      2      2      2   51.098   0.147
     2  3  153.775  154.150    46.0031  -0.31795E-02      3      3      3   49.922   0.142
     2  4  170.692  170.685    45.4709  -0.23663E-02      4      4      4   49.761   0.148
     2  5  205.330  205.548    45.1486  -0.13899E-02      5      5      5   49.136   0.148
     2  6  230.826  230.972    44.7393  -0.10293E-02      6      6      6   48.662   0.147
     2  7  259.007  258.934    44.3750  -0.74973E-03      7      7      7   48.121   0.146
     2  8  284.729  284.636    44.2574  -0.55305E-03      8      8      8   47.275   0.121
     2  9  304.850  304.759    44.1164  -0.44291E-03      9      9      9   46.821   0.108
     2 10  325.250  325.409    43.8509  -0.36367E-03     10     10     10   46.888   0.140
     2 11  351.908  352.002    43.6516  -0.28776E-03     11     11     11   46.929   0.154
     2 12  378.592  378.515    43.4575  -0.23067E-03     12     12     12   46.775   0.156
     2 13  405.138  405.070    43.3584  -0.19051E-03     13     13     13   46.401   0.153
     2 14  429.332  429.178    43.2910  -0.16355E-03     14     14     14   45.985   0.146
     2 15  450.877  450.847    43.2089  -0.14375E-03     15     15     15   45.796   0.147
     2 16  473.940  474.081    43.0664  -0.12631E-03     16     16     16   45.875   0.156
     2 17  500.119  500.191    42.9540  -0.11086E-03     17     17     17   45.917   0.160
     2 18  526.699  526.658    42.8927  -0.98087E-04     18     18     18   45.773   0.160
     2 19  552.734  552.600    42.8773  -0.87311E-04     19     19     19   45.469   0.158
     2 20  576.205  576.011    42.9051  -0.79073E-04     20     20     20   45.162   0.155
     2 21  598.624  598.668    42.8824  -0.72340E-04     21     21     21   45.089   0.157
     2 22  623.118  623.239    42.8351  -0.65865E-04     22     22     22   45.164   0.161
     2 23  649.349  649.355    42.8214  -0.59792E-04     23     23     23   45.167   0.162
     2 24  675.976  675.971    42.8439  -0.54509E-04     24     24     24   45.027   0.162
     2 25  701.861  701.691    42.8887  -0.50052E-04     25     25     25   44.782   0.161
     2 26  725.916  725.734    42.9484  -0.46390E-04     26     26     26   44.555   0.160
     2 27  749.241  749.302    42.9553  -0.43242E-04     27     27     27   44.522   0.161
     2 28  774.426  774.523    42.9464  -0.40215E-04     28     28     28   44.599   0.163
     2 29  801.267  801.306    42.9680  -0.37339E-04     29     29     29   44.592   0.164
     2 30  828.222  828.162    43.0136  -0.34761E-04     30     30     30   44.441   0.163
     2 31  853.829  853.607    43.0830  -0.32548E-04     31     31     31   44.208   0.163
     2 32  877.815  877.715    43.1371  -0.30656E-04     32     32     32   44.064   0.162
     2 33  902.211  902.303    43.1448  -0.28895E-04     33     33     33   44.086   0.163
     2 34  928.234  928.296    43.1596  -0.27171E-04     34     34     34   44.134   0.164
     2 35  955.144  955.188    43.1965  -0.25543E-04     35     35     35   44.092   0.164
     2 36  981.864  981.775    43.2509  -0.24073E-04     36     36     36   43.944   0.164
     2 37 1007.388 1007.179    43.3188  -0.22788E-04     37     37     37   43.752   0.164
     2 38 1031.649 1031.610    43.3628  -0.21664E-04     38     38     38   43.662   0.164
     2 39 1056.597 1056.699    43.3725  -0.20600E-04     39     39     39   43.708   0.164
     2 40 1083.173 1083.252    43.3966  -0.19556E-04     40     40     40   43.744   0.165
     2 41 1110.341 1110.369    43.4406  -0.18569E-04     41     41     41   43.672   0.165
     2 42 1136.733 1136.577    43.5013  -0.17682E-04     42     42     42   43.509   0.165
     2 43 1161.763 1161.586    43.5622  -0.16897E-04     43     43     43   43.366   0.164
     2 44 1186.488 1186.522    43.5917  -0.16168E-04     44     44     44   43.342   0.164
     2 45 1212.285 1212.388    43.6100  -0.15456E-04     45     45     45   43.382   0.165
     2 46 1239.042 1239.106    43.6403  -0.14765E-04     46     46     46   43.381   0.165
     2 47 1265.926 1265.907    43.6853  -0.14115E-04     47     47     47   43.295   0.165
     2 48 1292.063 1291.877    43.7464  -0.13525E-04     48     48     48   43.149   0.165
     2 49 1317.082 1316.952    43.8004  -0.12997E-04     49     49     49   43.044   0.165
     2 49 1342.123 1342.193    43.8214  -0.12500E-04     50     50     49   43.055   0.165
     2 51 1368.379 1368.470    43.8420  -0.12011E-04     51     51     51   43.096   0.165
     2 52 1395.395 1395.443    43.8821  -0.11538E-04     52     52     52   43.064   0.166
     2 52 1422.055 1421.976    43.9358  -0.11099E-04     53     53     52   42.951   0.165
     2 53 1447.688 1447.485    43.9915  -0.10699E-04     54     54     53   42.830   0.165
     2 53 1472.798 1472.733    44.0292  -0.10328E-04     55     55     53   42.785   0.165
     2 54 1498.471 1498.572    44.0548  -0.99663E-05     56     56     54   42.806   0.165
