          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   30   age (yrs) =  3.77218E+08   l/l sun =  2.66552E-03
     number of points in model = 436   r/r sun =  1.33900E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0594        66.3630        0.3068
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  117.592  117.207    47.1291   0.61717E+00      1      1      1   52.715   0.481
     1  2  201.020  201.662    46.2353   0.69064E+00      2      2      2   52.131   0.488
     1  3  275.722  276.208    46.0505   0.15100E+00      3      3      3   49.838   0.456
     1  4  312.176  311.935    45.3986   0.22096E-01      4      4      4   49.210   0.450
     1  5  352.366  352.665    45.1250  -0.28489E-01      5      5      5   48.777   0.461
     1  6  407.626  407.443    44.7441  -0.15499E-01      6      6      6   47.909   0.432
     1  7  434.263  434.403    44.7424  -0.17749E-02      7      7      7   47.441   0.388
     1  8  474.465  474.628    44.2317   0.80996E-02      8      8      8   47.894   0.477
     1  9  524.103  524.188    43.9625   0.42872E-02      9      9      9   47.908   0.486
     1 10  573.025  572.938    43.7734  -0.69018E-03     10     10     10   47.550   0.482
     1 11  615.764  615.450    43.6757  -0.84202E-03     11     11     11   47.097   0.472
     1 12  654.457  654.282    43.5749   0.37000E-03     12     12     12   46.855   0.469
     1 13  693.940  694.179    43.3877   0.85479E-03     13     13     13   46.928   0.482
     1 14  739.357  739.544    43.2195   0.25156E-03     14     14     14   47.032   0.490
     1 15  786.771  786.678    43.0952  -0.48632E-03     15     15     15   46.958   0.491
     1 16  833.248  833.062    43.0237  -0.60692E-03     16     16     16   46.695   0.489
     1 17  875.159  874.803    43.0114  -0.38312E-03     17     17     17   46.397   0.485
     1 18  914.479  914.481    42.9512  -0.19468E-03     18     18     18   46.333   0.487
     1 19  957.117  957.292    42.8598  -0.11532E-03     19     19     19   46.447   0.492
     1 20 1003.504 1003.520    42.8181  -0.81063E-04     20     20     20   46.490   0.494
     1 21 1051.017 1050.967    42.8126  -0.27000E-04     21     21     21   46.369   0.494
     1 22 1096.606 1096.179    42.8459   0.29269E-04     22     22     22   46.110   0.493
     1 23 1137.682 1137.347    42.8971   0.46657E-04     23     23     23   45.911   0.491
     1 24 1178.842 1178.970    42.8719   0.21310E-04     24     24     24   45.969   0.494
     1 25 1224.752 1224.813    42.8574  -0.14928E-04     25     25     25   46.080   0.496
     1 26 1272.970 1272.952    42.8813  -0.42989E-04     26     26     26   46.044   0.496
     1 27 1320.071 1319.809    42.9316  -0.78179E-04     27     27     27   45.859   0.496
     1 28 1363.968 1363.483    43.0011  -0.91968E-04     28     28     28   45.649   0.494
     1 29 1405.967 1405.821    43.0292  -0.82581E-04     29     29     29   45.599   0.495
     1 30 1450.284 1450.337    43.0287  -0.71491E-04     30     30     30   45.684   0.496
     1 31 1497.541 1497.573    43.0525  -0.49703E-04     31     31     31   45.729   0.497
     2  1   68.006   67.777    46.6815  -0.23587E-01      1      1      1   52.006   0.148
     2  2  116.173  116.539    46.2029  -0.63378E-02      2      2      2   51.531   0.156
     2  3  160.639  161.078    46.0182  -0.26088E-02      3      3      3   49.774   0.137
     2  4  182.673  182.553    45.3596  -0.19246E-02      4      4      4   49.259   0.132
     2  5  206.157  206.396    45.1146  -0.14706E-02      5      5      5   48.946   0.140
     2  6  239.637  239.689    44.5581  -0.98658E-03      6      6      6   48.668   0.153
     2  7  268.910  268.861    44.2883  -0.66989E-03      7      7      7   47.826   0.142
     2  8  292.342  292.165    44.2415  -0.50091E-03      8      8      8   46.953   0.101
     2  9  310.738  310.819    44.0194  -0.41156E-03      9      9      9   46.827   0.121
     2 10  336.479  336.624    43.7197  -0.32582E-03     10     10     10   46.983   0.151
     2 11  363.803  363.800    43.5579  -0.26077E-03     11     11     11   46.835   0.154
     2 12  391.116  391.030    43.3981  -0.21104E-03     12     12     12   46.550   0.154
     2 13  416.985  416.871    43.3151  -0.17564E-03     13     13     13   46.125   0.148
     2 14  439.753  439.654    43.2547  -0.15227E-03     14     14     14   45.831   0.145
     2 15  462.713  462.817    43.1099  -0.13392E-03     15     15     15   45.846   0.153
     2 16  488.812  488.940    42.9779  -0.11715E-03     16     16     16   45.910   0.159
     2 17  516.139  516.122    42.9081  -0.10267E-03     17     17     17   45.797   0.160
     2 18  542.947  542.849    42.8711  -0.90861E-04     18     18     18   45.534   0.159
     2 19  567.795  567.593    42.8891  -0.81686E-04     19     19     19   45.214   0.156
     2 20  590.789  590.792    42.8873  -0.74410E-04     20     20     20   45.075   0.156
     2 21  615.332  615.481    42.8313  -0.67661E-04     21     21     21   45.147   0.160
     2 22  642.288  642.301    42.8058  -0.61231E-04     22     22     22   45.183   0.162
     2 23  670.051  670.053    42.8248  -0.55521E-04     23     23     23   45.041   0.162
     2 24  696.688  696.524    42.8809  -0.50803E-04     24     24     24   44.758   0.161
     2 25  720.891  720.706    42.9430  -0.47049E-04     25     25     25   44.534   0.159
     2 26  745.009  745.080    42.9324  -0.43727E-04     26     26     26   44.543   0.161
     2 27  771.426  771.524    42.9286  -0.40507E-04     27     27     27   44.611   0.163
     2 28  799.113  799.155    42.9599  -0.37520E-04     28     28     28   44.563   0.163
     2 29  826.545  826.465    43.0090  -0.34873E-04     29     29     29   44.387   0.163
     2 30  852.518  852.293    43.0784  -0.32620E-04     30     30     30   44.161   0.162
     2 31  877.067  877.025    43.1271  -0.30683E-04     31     31     31   44.048   0.162
     2 32  902.410  902.525    43.1301  -0.28849E-04     32     32     32   44.097   0.163
     2 33  929.642  929.696    43.1468  -0.27052E-04     33     33     33   44.142   0.164
     2 34  957.704  957.732    43.1902  -0.25373E-04     34     34     34   44.059   0.164
     2 35  984.948  984.794    43.2602  -0.23889E-04     35     35     35   43.851   0.164
     2 36 1010.184 1010.009    43.3327  -0.22634E-04     36     36     36   43.669   0.163
     2 37 1035.015 1035.071    43.3464  -0.21501E-04     37     37     37   43.675   0.164
     2 38 1061.777 1061.877    43.3563  -0.20377E-04     38     38     38   43.750   0.165
     2 39 1089.825 1089.896    43.3966  -0.19294E-04     39     39     39   43.723   0.165
     2 39 1117.543 1117.489    43.4542  -0.18310E-04     40     40     39   43.574   0.165
     2 40 1143.742 1143.532    43.5233  -0.17447E-04     41     41     40   43.392   0.164
     2 41 1168.879 1168.826    43.5667  -0.16671E-04     42     42     41   43.322   0.164
     2 41 1194.916 1195.035    43.5810  -0.15921E-04     43     43     41   43.370   0.165
     2 42 1222.407 1222.487    43.6058  -0.15180E-04     44     44     42   43.402   0.165
     2 43 1250.406 1250.429    43.6484  -0.14475E-04     45     45     43   43.331   0.165
     2 45 1277.638 1277.491    43.7124  -0.13838E-04     46     46     45   43.167   0.165
     2 45 1303.295 1303.123    43.7785  -0.13278E-04     47     47     45   43.027   0.165
     2 46 1328.675 1328.726    43.7992  -0.12757E-04     48     48     46   43.038   0.165
     2 47 1355.651 1355.760    43.8121  -0.12239E-04     49     49     47   43.108   0.165
     2 47 1383.749 1383.803    43.8510  -0.11734E-04     50     50     47   43.088   0.166
     2 48 1411.502 1411.445    43.9105  -0.11265E-04     51     51     48   42.953   0.165
     2 49 1437.749 1437.547    43.9768  -0.10848E-04     52     52     49   42.800   0.165
     2 50 1463.162 1463.093    44.0117  -0.10464E-04     53     53     50   42.761   0.165
     2 50 1489.615 1489.730    44.0294  -0.10085E-04     54     54     50   42.815   0.165
